YMD,Product1,Product2,Time
"Sunday, July 25, 2021",5103655,13051168,135
"Sunday, August 8, 2021",4132605,14180921,136
"Sunday, August 15, 2021",3649249,13067076,137
"Sunday, August 22, 2021",4249182,12528218,138
"Sunday, August 29, 2021",3244832,13331367.7,139
"Friday, September 3, 2021",2854284,13079950,140
"Sunday, September 5, 2021",3512389,14238404.3,141
"Sunday, September 12, 2021",3407865,12818545,142
"Sunday, September 19, 2021",5075517,12279029,143
"Sunday, September 26, 2021",3470933,12478978,144
"Sunday, October 10, 2021",3230893,13862703,145
"Sunday, October 17, 2021",3856050,13171356,146
"Sunday, October 24, 2021",4229092,12229921,147
"Sunday, October 31, 2021",3275092,13210266,148
"Sunday, November 7, 2021",4082376,13531973,149
"Sunday, November 14, 2021",3682441,12118513,150
"Sunday, November 21, 2021",4785748,12290192,151
"Sunday, November 28, 2021",2753385,12013689.8,152
"Thursday, December 2, 2021",2984626,11805265.6,153
"Sunday, December 5, 2021",2899937,13680348.7,154
"Sunday, December 12, 2021",3235373,12216544.5,155
"Sunday, December 19, 2021",4977417,11817668.6,156
"Sunday, December 26, 2021",2758312,11741815,157
"Sunday, January 9, 2022",4580028,12282119.1,158
"Sunday, January 16, 2022",3530822,12067208,159
"Sunday, January 23, 2022",2773498,10735466.6,160
"Sunday, January 30, 2022",2743764,10862082.6,161
"Sunday, February 6, 2022",3026038,11512849.3,162
"Sunday, February 13, 2022",3309167,11841966,163
"Sunday, February 20, 2022",5167188,11738377,164
"Sunday, February 27, 2022",3161843,12219523.5,165
"Thursday, March 3, 2022",2995622,13149942.2,166
"Sunday, March 6, 2022",4264970,13108695.4,167
"Sunday, March 13, 2022",3203645,12160080,168
"Sunday, March 20, 2022",4581047,11555519,169
"Sunday, March 27, 2022",2870267,12059225,170
"Friday, April 1, 2022",3205509,13129738.1,171
"Sunday, April 10, 2022",3414393,13750729,172
"Sunday, April 17, 2022",3528132,11745334.3,173
"Sunday, April 24, 2022",4486068,11694785.2,174
"Sunday, May 8, 2022",3838649,13166704.1,175
