YMD,Real,Point.Forecast,Lo.95,Hi.95
"Sunday, March 14, 2021",14276962,,,
"Sunday, March 21, 2021",12911313,,,
"Sunday, March 28, 2021",13617776,,,
"Friday, April 2, 2021",13951498.5,,,
"Sunday, April 11, 2021",16054817,,,
"Sunday, April 18, 2021",14657176,,,
"Sunday, April 25, 2021",14297202.9,,,
"Sunday, May 9, 2021",15776757,,,
"Sunday, May 16, 2021",14158384,,,
"Sunday, May 23, 2021",12468976,,,
"Sunday, May 30, 2021",13999456,,,
"Friday, June 4, 2021",14248653,,,
"Sunday, June 6, 2021",15389566,,,
"Sunday, June 13, 2021",14344985,,,
"Sunday, June 20, 2021",12361188,,,
"Sunday, June 27, 2021",12934410,,,
"Thursday, July 1, 2021",13494460,,,
"Sunday, July 11, 2021",14200563,,,
"Sunday, July 18, 2021",13306987.5,,,
"Sunday, July 25, 2021",13051168,,,
"Sunday, August 8, 2021",14180921,,,
"Sunday, August 15, 2021",13067076,,,
"Sunday, August 22, 2021",12528218,,,
"Sunday, August 29, 2021",13331367.7,,,
"Friday, September 3, 2021",13079950,,,
"Sunday, September 5, 2021",14238404.3,,,
"Sunday, September 12, 2021",12818545,,,
"Sunday, September 19, 2021",12279029,,,
"Sunday, September 26, 2021",12478978,,,
"Sunday, October 10, 2021",13862703,,,
"Sunday, October 17, 2021",13171356,,,
"Sunday, October 24, 2021",12229921,,,
"Sunday, October 31, 2021",13210266,,,
"Sunday, November 7, 2021",13531973,,,
"Sunday, November 14, 2021",12118513,,,
"Sunday, November 21, 2021",12290192,,,
"Sunday, November 28, 2021",12013689.8,,,
"Thursday, December 2, 2021",11805265.6,,,
"Sunday, December 5, 2021",13680348.7,,,
"Sunday, December 12, 2021",12216544.5,,,
"Sunday, December 19, 2021",11817668.6,,,
"Sunday, December 26, 2021",11741815,,,
"Sunday, January 9, 2022",12282119.1,,,
"Sunday, January 16, 2022",12067208,,,
"Sunday, January 23, 2022",10735466.6,,,
"Sunday, January 30, 2022",10862082.6,,,
"Sunday, February 6, 2022",11512849.3,,,
"Sunday, February 13, 2022",11841966,,,
"Sunday, February 20, 2022",11738377,,,
"Sunday, February 27, 2022",12219523.5,,,
"Thursday, March 3, 2022",13149942.2,,,
"Sunday, March 6, 2022",13108695.4,,,
"Sunday, March 13, 2022",12160080,,,
"Sunday, March 20, 2022",11555519,,,
"Sunday, March 27, 2022",12059225,,,
"Friday, April 1, 2022",13129738.1,,,
"Sunday, April 10, 2022",13750729,,,
"Sunday, April 17, 2022",11745334.3,,,
"Sunday, April 24, 2022",11694785.2,,,
"Sunday, May 8, 2022",13166704.1,,,
