YMD,Real,Point.Forecast,Lo.95,Hi.95
"Sunday, March 14, 2021",4093491,,,
"Sunday, March 21, 2021",5088403,,,
"Sunday, March 28, 2021",2730703,,,
"Friday, April 2, 2021",3120869,,,
"Sunday, April 11, 2021",3137968,,,
"Sunday, April 18, 2021",4128440,,,
"Sunday, April 25, 2021",4295427,,,
"Sunday, May 9, 2021",3823829,,,
"Sunday, May 16, 2021",4250719,,,
"Sunday, May 23, 2021",4429906,,,
"Sunday, May 30, 2021",3088764,,,
"Friday, June 4, 2021",3022488,,,
"Sunday, June 6, 2021",2976197,,,
"Sunday, June 13, 2021",4288219,,,
"Sunday, June 20, 2021",5565214,,,
"Sunday, June 27, 2021",3291135,,,
"Thursday, July 1, 2021",3320176,,,
"Sunday, July 11, 2021",3003206.7,,,
"Sunday, July 18, 2021",3776015,,,
"Sunday, July 25, 2021",5103655,,,
"Sunday, August 8, 2021",4132605,,,
"Sunday, August 15, 2021",3649249,,,
"Sunday, August 22, 2021",4249182,,,
"Sunday, August 29, 2021",3244832,,,
"Friday, September 3, 2021",2854284,,,
"Sunday, September 5, 2021",3512389,,,
"Sunday, September 12, 2021",3407865,,,
"Sunday, September 19, 2021",5075517,,,
"Sunday, September 26, 2021",3470933,,,
"Sunday, October 10, 2021",3230893,,,
"Sunday, October 17, 2021",3856050,,,
"Sunday, October 24, 2021",4229092,,,
"Sunday, October 31, 2021",3275092,,,
"Sunday, November 7, 2021",4082376,,,
"Sunday, November 14, 2021",3682441,,,
"Sunday, November 21, 2021",4785748,,,
"Sunday, November 28, 2021",2753385,,,
"Thursday, December 2, 2021",2984626,,,
"Sunday, December 5, 2021",2899937,,,
"Sunday, December 12, 2021",3235373,,,
"Sunday, December 19, 2021",4977417,,,
"Sunday, December 26, 2021",2758312,,,
"Sunday, January 9, 2022",4580028,,,
"Sunday, January 16, 2022",3530822,,,
"Sunday, January 23, 2022",2773498,,,
"Sunday, January 30, 2022",2743764,,,
"Sunday, February 6, 2022",3026038,,,
"Sunday, February 13, 2022",3309167,,,
"Sunday, February 20, 2022",5167188,,,
"Sunday, February 27, 2022",3161843,,,
"Thursday, March 3, 2022",2995622,,,
"Sunday, March 6, 2022",4264970,,,
"Sunday, March 13, 2022",3203645,,,
"Sunday, March 20, 2022",4581047,,,
"Sunday, March 27, 2022",2870267,,,
"Friday, April 1, 2022",3205509,,,
"Sunday, April 10, 2022",3414393,,,
"Sunday, April 17, 2022",3528132,,,
"Sunday, April 24, 2022",4486068,,,
"Sunday, May 8, 2022",3838649,,,
